Dataset,Model,RMSE,MAE,MAPE,QLIKE,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations,realized_window,alpha,train_fraction
synthetic_sv_jump_t,"GARCH(2,1)-t",0.4641083902436638,0.2979621350471232,86.85321890201404,5.970520772078868,0.01,-0.4783580176173543,-0.712788283716716,0.0,0.0,0.0835690047854639,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"GARCH(1,1)-t",0.4645129402566458,0.2979543483635434,86.71270826645086,5.935214203355708,0.01,-0.4797081764457846,-0.7148001186993411,0.0,0.0,0.0824031424940693,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"GARCH(1,2)-t",0.4645129409401188,0.2979543336035585,86.71268702217479,5.935196481289112,0.01,-0.4797084543079918,-0.7148005327342657,0.0,0.0,0.0824031580806542,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.4646313997207416,0.298049055860933,86.90518348417615,6.148392038286698,0.01,-0.4782345785884833,-0.7126043505739815,0.0,0.0,0.0836576623582567,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.4646718025670902,0.298127334350754,86.67788786055254,5.944670216916072,0.01,-0.4784483203807411,-0.7129228414106583,0.0,0.0,0.082688256288808,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.4647713184043673,0.2982235107217201,86.8848763205768,6.0169717337245,0.01,-0.477017794344603,-0.7107912534356313,0.0,0.0,0.0838019334972373,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.4648973242889863,0.2981162153741522,86.7088671128136,5.948660026529535,0.01,-0.4790062881588503,-0.7137542540352625,0.0,0.0,0.0824005772844491,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.4661137233124554,0.2988004087927632,86.83518893772431,6.063847658806058,0.01,-0.4749856439450642,-0.7077632013445294,0.0,0.0,0.0823452781856624,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,REGARCH-t,0.468509142407387,0.289165959849454,71.22567348692057,2.6703615150151743,0.01,-0.631554701996008,-0.9410625003238684,0.0060882800608828,0.0060882800608828,0.0931535975626677,0.0010793541093813,657,4,10,0.01,0.7
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.4823000764803721,0.3073672501470625,88.18745558418073,8.197068837665828,0.01,-0.4240228286516923,-0.6318248950791331,0.0030959752321981,0.0030959752321981,0.0816435363389635,0.0008875032622899,646,2,10,0.01,0.7
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.5047628072441506,0.3562781673676533,260.38557313882893,-0.3777914434167407,0.01,-2.1833796675532353,-3.2533947140447887,0.0,0.0,0.1868366164455863,0.0,657,0,10,0.01,0.7
synthetic_rough_long_memory,HAR-RV,0.1316194527252907,0.0633580429207539,55.403406949033055,-0.9878529026567868,0.01,-1.1718431540114105,-1.7715429610998268,0.0,0.0,0.116562890442545,0.0,657,0,10,0.01,0.7
synthetic_rough_long_memory,Naive-RV,0.1356907014429439,0.0575222261974108,36.24428341561456,-0.9990334412829917,0.01,-1.1059706379708114,-1.6719596749559529,0.0,0.0,0.112326344391602,0.0,657,0,10,0.01,0.7
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.2387577610083031,0.1182955796495071,72.12526377480437,-0.8081541581667187,0.01,-0.9992027785306662,-1.5105525367946595,0.0,0.0,0.1042814516438099,0.0,657,0,10,0.01,0.7
synthetic_rough_long_memory,REGARCH-t,0.285885048188411,0.1672023919433801,72.32659299764993,1.2256910631782378,0.01,-0.5326195643448413,-0.8051917502177705,0.0,0.0,0.0783106070083365,0.0,657,0,10,0.01,0.7
synthetic_rough_long_memory,"GARCH(1,1)-t",0.316245140630032,0.190552288140052,83.63064852827911,4.0708973051755235,0.01,-0.3900833170808654,-0.5897114748262209,0.0,0.0,0.0713503195065054,0.0,646,0,10,0.01,0.7
synthetic_rough_long_memory,"GARCH(2,1)-t",0.3162453238408446,0.190552309721293,83.63058368956005,4.070906824625844,0.01,-0.3900833862223751,-0.5897115793514335,0.0,0.0,0.0713503653278001,0.0,646,0,10,0.01,0.7
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.316252018119271,0.1905413329969397,83.60815499484201,4.065727303312018,0.01,-0.3902316962486319,-0.5899357881819209,0.0,0.0,0.0713570049281769,0.0,646,0,10,0.01,0.7
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.3162692708153042,0.1905611837195409,83.63083193115898,4.071917019221475,0.01,-0.3900451421153042,-0.589653763526463,0.0,0.0,0.0713504646149839,0.0,646,0,10,0.01,0.7
